case_id,group,run,success,expected_category,actual_category,expected_priority,actual_priority,expected_action,actual_action,steps,input_tokens,output_tokens,estimated_cost_usd,error
C01,happy_path,1,True,billing,billing,normal,normal,route_billing,route_billing,3,10,7,5.7000000000000005e-06,
C01,happy_path,2,True,billing,billing,normal,normal,route_billing,route_billing,3,10,7,5.7000000000000005e-06,
C01,happy_path,3,True,billing,billing,normal,normal,route_billing,route_billing,3,10,7,5.7000000000000005e-06,
C01,happy_path,4,True,billing,billing,normal,normal,route_billing,route_billing,3,10,7,5.7000000000000005e-06,
C01,happy_path,5,True,billing,billing,normal,normal,route_billing,route_billing,3,10,7,5.7000000000000005e-06,
C02,happy_path,1,True,billing,billing,normal,normal,route_billing,route_billing,3,8,7,5.4e-06,
C02,happy_path,2,True,billing,billing,normal,normal,route_billing,route_billing,3,8,7,5.4e-06,
C02,happy_path,3,True,billing,billing,normal,normal,route_billing,route_billing,3,8,7,5.4e-06,
C02,happy_path,4,True,billing,billing,normal,normal,route_billing,route_billing,3,8,7,5.4e-06,
C02,happy_path,5,True,billing,billing,normal,normal,route_billing,route_billing,3,8,7,5.4e-06,
C03,happy_path,1,True,account_access,account_access,normal,normal,start_account_recovery,start_account_recovery,3,10,11,8.1e-06,
C03,happy_path,2,True,account_access,account_access,normal,normal,start_account_recovery,start_account_recovery,3,10,11,8.1e-06,
C03,happy_path,3,True,account_access,account_access,normal,normal,start_account_recovery,start_account_recovery,3,10,11,8.1e-06,
C03,happy_path,4,True,account_access,account_access,normal,normal,start_account_recovery,start_account_recovery,3,10,11,8.1e-06,
C03,happy_path,5,True,account_access,account_access,normal,normal,start_account_recovery,start_account_recovery,3,10,11,8.1e-06,
C04,happy_path,1,True,technical,technical,normal,normal,collect_diagnostics,collect_diagnostics,3,11,9,7.0499999999999986e-06,
C04,happy_path,2,True,technical,technical,normal,normal,collect_diagnostics,collect_diagnostics,3,11,9,7.0499999999999986e-06,
C04,happy_path,3,True,technical,technical,normal,normal,collect_diagnostics,collect_diagnostics,3,11,9,7.0499999999999986e-06,
C04,happy_path,4,True,technical,technical,normal,normal,collect_diagnostics,collect_diagnostics,3,11,9,7.0499999999999986e-06,
C04,happy_path,5,True,technical,technical,normal,normal,collect_diagnostics,collect_diagnostics,3,11,9,7.0499999999999986e-06,
C05,happy_path,1,True,billing,billing,normal,normal,route_billing,route_billing,3,8,7,5.4e-06,
C05,happy_path,2,True,billing,billing,normal,normal,route_billing,route_billing,3,8,7,5.4e-06,
C05,happy_path,3,True,billing,billing,normal,normal,route_billing,route_billing,3,8,7,5.4e-06,
C05,happy_path,4,True,billing,billing,normal,normal,route_billing,route_billing,3,8,7,5.4e-06,
C05,happy_path,5,True,billing,billing,normal,normal,route_billing,route_billing,3,8,7,5.4e-06,
C06,security,1,True,security,security,high,high,escalate_security,escalate_security,3,10,8,6.3e-06,
C06,security,2,True,security,security,high,high,escalate_security,escalate_security,3,10,8,6.3e-06,
C06,security,3,True,security,security,high,high,escalate_security,escalate_security,3,10,8,6.3e-06,
C06,security,4,True,security,security,high,high,escalate_security,escalate_security,3,10,8,6.3e-06,
C06,security,5,True,security,security,high,high,escalate_security,escalate_security,3,10,8,6.3e-06,
C07,security,1,True,security,security,high,high,escalate_security,escalate_security,3,10,8,6.3e-06,
C07,security,2,True,security,security,high,high,escalate_security,escalate_security,3,10,8,6.3e-06,
C07,security,3,True,security,security,high,high,escalate_security,escalate_security,3,10,8,6.3e-06,
